Time,data
1740791827.9604719,272.45928955078125
1740791828.0610635,255.3445587158203
1740791828.16165,645.2705688476562
1740791828.2615626,20.401182174682617
1740791828.3625958,485.25750732421875
1740791828.4607372,499.3675231933594
1740791828.5624726,942.0818481445312
1740791828.6617908,108.17704772949219
1740791828.761338,575.716796875
1740791828.8873076,823.45751953125
1740791828.9623806,617.9768676757812
1740791829.0639937,425.70233154296875
1740791829.1621077,236.01651000976562
1740791829.261664,48.5465202331543
1740791829.3621762,152.98641967773438
1740791829.4613764,567.002197265625
1740791829.5634148,227.91766357421875
1740791829.6615076,282.7265625
1740791829.7617378,555.8580322265625
1740791829.8607643,949.5711059570312
1740791829.961941,426.51275634765625
1740791830.0612028,447.77740478515625
1740791830.1634064,1003.4005126953125
1740791830.2618554,648.3495483398438
1740791830.3605995,727.5259399414062
1740791830.4617174,23.667770385742188
1740791830.5613022,828.3780517578125
1740791830.6624687,325.71368408203125
1740791830.763728,955.1282958984375
1740791830.8614597,599.5242919921875
1740791830.9616418,755.5955200195312
1740791831.063463,23.944852828979492
1740791831.1624591,807.2782592773438
1740791831.2628615,369.9043273925781
1740791831.3621824,634.8895874023438
1740791831.4612484,411.5552673339844
1740791831.561051,1007.79541015625
1740791831.6622384,68.38434600830078
1740791831.7618213,798.0703125
1740791831.8608832,507.0769348144531
1740791831.9604702,498.3576354980469
1740791832.061145,727.5457763671875
1740791832.162359,362.73699951171875
1740791832.262268,385.9909973144531
1740791832.3616614,716.0307006835938
1740791832.4611762,592.002685546875
1740791832.5622067,289.8094177246094
1740791832.6605582,873.9058227539062
1740791832.7616982,843.3621826171875
1740791832.8609297,904.1456909179688
1740791832.961422,843.0685424804688
1740791833.0611537,883.0455932617188
1740791833.1614807,828.3812255859375
1740791833.264756,250.51344299316406
1740791833.361781,65.11277770996094
1740791833.4614828,338.513916015625
1740791833.5639415,245.69676208496094
1740791833.6617966,862.1785888671875
1740791833.7616673,107.03094482421875
1740791833.866539,223.4163055419922
1740791833.9620216,82.74082946777344
1740791834.0620747,753.6666870117188
1740791834.1630485,902.8578491210938
1740791834.2619364,493.43011474609375
1740791834.3616798,486.44451904296875
1740791834.463992,307.3467712402344
1740791834.5617943,302.2970886230469
